eval_group,set,target,method,n,pos,auprc,auroc,failure_rate,mean_dice,model,diff_vs_sam_auprc,diff_ci_low,diff_ci_high,diff_p
MedSAM,pooled_heldout,failure,SPRC-CB,525,178,0.7189042862473514,0.8299226111452903,0.33904761904761904,0.7275909221923471,MedSAM,0.1298450122515641,0.07420727077719579,0.18120613775090025,0.0
MedSAM,pooled_heldout,failure,SAM IoU min,525,178,0.5882244279619323,0.7380759641226565,0.33904761904761904,0.7275909221923471,MedSAM,,,,
MedSAM,pooled_heldout,failure,Prompt-pert. unc.,525,178,0.7245124901350372,0.8441051711297478,0.33904761904761904,0.7275909221923471,MedSAM,,,,
MedSAM,pooled_heldout,failure,Mask IoU disag.,525,178,0.7525126568074342,0.8548230418029336,0.33904761904761904,0.7275909221923471,MedSAM,,,,
MedSAM,pooled_heldout,failure,SPRC no-conf top2,525,178,0.6537699108208594,0.7722452481947997,0.33904761904761904,0.7275909221923471,MedSAM,,,,
MedSAM,CVC-ClinicDB,failure,SPRC-CB,150,36,0.7056294413745579,0.8714668615984406,0.24,0.7577405363356795,MedSAM,,,,
MedSAM,CVC-ClinicDB,failure,SAM IoU min,150,36,0.42230853200336554,0.7461013645224172,0.24,0.7577405363356795,MedSAM,,,,
MedSAM,CVC-ClinicDB,failure,Prompt-pert. unc.,150,36,0.6751373103069466,0.8759746588693957,0.24,0.7577405363356795,MedSAM,,,,
MedSAM,CVC-ClinicDB,failure,Mask IoU disag.,150,36,0.6981037564857326,0.8808479532163743,0.24,0.7577405363356795,MedSAM,,,,
MedSAM,CVC-ClinicDB,failure,SPRC no-conf top2,150,36,0.6251791926011218,0.8489278752436646,0.24,0.7577405363356795,MedSAM,,,,
MedSAM,CVC-ColonDB,failure,SPRC-CB,150,76,0.7823770275988239,0.7807610241820768,0.5066666666666667,0.6778910323116514,MedSAM,,,,
MedSAM,CVC-ColonDB,failure,SAM IoU min,150,76,0.7203873335094195,0.726529160739687,0.5066666666666667,0.6778910323116514,MedSAM,,,,
MedSAM,CVC-ColonDB,failure,Prompt-pert. unc.,150,76,0.788329167140763,0.796230440967283,0.5066666666666667,0.6778910323116514,MedSAM,,,,
MedSAM,CVC-ColonDB,failure,Mask IoU disag.,150,76,0.8130863605197785,0.8127667140825034,0.5066666666666667,0.6778910323116514,MedSAM,,,,
MedSAM,CVC-ColonDB,failure,SPRC no-conf top2,150,76,0.7205193444758473,0.7333748221906116,0.5066666666666667,0.6778910323116514,MedSAM,,,,
MedSAM,ETIS-Larib,failure,SPRC-CB,150,49,0.7011324739128746,0.8154172560113154,0.32666666666666666,0.7335671721925001,MedSAM,,,,
MedSAM,ETIS-Larib,failure,SAM IoU min,150,49,0.644123468544539,0.7557082238836128,0.32666666666666666,0.7335671721925001,MedSAM,,,,
MedSAM,ETIS-Larib,failure,Prompt-pert. unc.,150,49,0.7167406895499598,0.8124873711860982,0.32666666666666666,0.7335671721925001,MedSAM,,,,
MedSAM,ETIS-Larib,failure,Mask IoU disag.,150,49,0.7409144282873188,0.8252172155991109,0.32666666666666666,0.7335671721925001,MedSAM,,,,
MedSAM,ETIS-Larib,failure,SPRC no-conf top2,150,49,0.6031826994262643,0.7103455243483532,0.32666666666666666,0.7335671721925001,MedSAM,,,,
MedSAM,Kvasir-SEG,failure,SPRC-CB,75,17,0.7410157182302511,0.9401622718052738,0.22666666666666666,0.7547389736667672,MedSAM,,,,
MedSAM,Kvasir-SEG,failure,SAM IoU min,75,17,0.5483826174899791,0.8275862068965517,0.22666666666666666,0.7547389736667672,MedSAM,,,,
MedSAM,Kvasir-SEG,failure,Prompt-pert. unc.,75,17,0.7192751961610093,0.9310344827586208,0.22666666666666666,0.7547389736667672,MedSAM,,,,
MedSAM,Kvasir-SEG,failure,Mask IoU disag.,75,17,0.7293325470525909,0.9401622718052738,0.22666666666666666,0.7547389736667672,MedSAM,,,,
MedSAM,Kvasir-SEG,failure,SPRC no-conf top2,75,17,0.7699053259825119,0.9198782961460445,0.22666666666666666,0.7547389736667672,MedSAM,,,,
MedSAM,pooled_heldout,failure80,SPRC-CB,525,277,0.8261992324891465,0.7983652614417143,0.5276190476190477,0.7275909221923471,MedSAM,0.08717058626642833,0.052690925412573836,0.12159946871341536,0.0
MedSAM,pooled_heldout,failure80,SAM IoU min,525,277,0.7387354564152554,0.7098521020146733,0.5276190476190477,0.7275909221923471,MedSAM,,,,
MedSAM,pooled_heldout,failure80,Prompt-pert. unc.,525,277,0.8793218712765076,0.8611709560964247,0.5276190476190477,0.7275909221923471,MedSAM,,,,
MedSAM,pooled_heldout,failure80,Mask IoU disag.,525,277,0.893686706720656,0.8702981250727844,0.5276190476190477,0.7275909221923471,MedSAM,,,,
MedSAM,pooled_heldout,failure80,SPRC no-conf top2,525,277,0.7904752847632508,0.7557135786654245,0.5276190476190477,0.7275909221923471,MedSAM,,,,
MedSAM,CVC-ClinicDB,failure80,SPRC-CB,150,70,0.7447959653495454,0.7579464285714286,0.4666666666666667,0.7577405363356795,MedSAM,,,,
MedSAM,CVC-ClinicDB,failure80,SAM IoU min,150,70,0.6259100072031929,0.6866071428571427,0.4666666666666667,0.7577405363356795,MedSAM,,,,
MedSAM,CVC-ClinicDB,failure80,Prompt-pert. unc.,150,70,0.846023542672848,0.8273214285714285,0.4666666666666667,0.7577405363356795,MedSAM,,,,
MedSAM,CVC-ClinicDB,failure80,Mask IoU disag.,150,70,0.8522658470314968,0.8323214285714285,0.4666666666666667,0.7577405363356795,MedSAM,,,,
MedSAM,CVC-ClinicDB,failure80,SPRC no-conf top2,150,70,0.7281040711705322,0.7271428571428572,0.4666666666666667,0.7577405363356795,MedSAM,,,,
MedSAM,CVC-ColonDB,failure80,SPRC-CB,150,111,0.9125714095741486,0.782859782859783,0.74,0.6778910323116514,MedSAM,,,,
MedSAM,CVC-ColonDB,failure80,SAM IoU min,150,111,0.88351133156394,0.7620697620697621,0.74,0.6778910323116514,MedSAM,,,,
MedSAM,CVC-ColonDB,failure80,Prompt-pert. unc.,150,111,0.9478981398466166,0.857010857010857,0.74,0.6778910323116514,MedSAM,,,,
MedSAM,CVC-ColonDB,failure80,Mask IoU disag.,150,111,0.9537926132091403,0.8683298683298684,0.74,0.6778910323116514,MedSAM,,,,
MedSAM,CVC-ColonDB,failure80,SPRC no-conf top2,150,111,0.8819783112429462,0.7251097251097253,0.74,0.6778910323116514,MedSAM,,,,
MedSAM,ETIS-Larib,failure80,SPRC-CB,150,70,0.8478065580743895,0.8413392857142857,0.4666666666666667,0.7335671721925001,MedSAM,,,,
MedSAM,ETIS-Larib,failure80,SAM IoU min,150,70,0.7929200059261303,0.7562500000000001,0.4666666666666667,0.7335671721925001,MedSAM,,,,
MedSAM,ETIS-Larib,failure80,Prompt-pert. unc.,150,70,0.8441241680925522,0.84875,0.4666666666666667,0.7335671721925001,MedSAM,,,,
MedSAM,ETIS-Larib,failure80,Mask IoU disag.,150,70,0.8640136640854149,0.8617857142857143,0.4666666666666667,0.7335671721925001,MedSAM,,,,
MedSAM,ETIS-Larib,failure80,SPRC no-conf top2,150,70,0.761393188901366,0.7611607142857143,0.4666666666666667,0.7335671721925001,MedSAM,,,,
MedSAM,Kvasir-SEG,failure80,SPRC-CB,75,26,0.7658470347171242,0.846938775510204,0.3466666666666667,0.7547389736667672,MedSAM,,,,
MedSAM,Kvasir-SEG,failure80,SAM IoU min,75,26,0.5708725869024422,0.7127158555729984,0.3466666666666667,0.7547389736667672,MedSAM,,,,
MedSAM,Kvasir-SEG,failure80,Prompt-pert. unc.,75,26,0.8524212762811948,0.9324960753532181,0.3466666666666667,0.7547389736667672,MedSAM,,,,
MedSAM,Kvasir-SEG,failure80,Mask IoU disag.,75,26,0.8872321793468715,0.9403453689167974,0.3466666666666667,0.7547389736667672,MedSAM,,,,
MedSAM,Kvasir-SEG,failure80,SPRC no-conf top2,75,26,0.8172569658977078,0.8751962323390894,0.3466666666666667,0.7547389736667672,MedSAM,,,,
MedSAM,pooled_heldout,severe_failure,SPRC-CB,525,68,0.37214646911472227,0.8262968206976444,0.1295238095238095,0.7275909221923471,MedSAM,0.122161052333237,0.03814127138122783,0.20651374803579836,0.0
MedSAM,pooled_heldout,severe_failure,SAM IoU min,525,68,0.2513136645945595,0.7320118419358992,0.1295238095238095,0.7275909221923471,MedSAM,,,,
MedSAM,pooled_heldout,severe_failure,Prompt-pert. unc.,525,68,0.3870290976887806,0.8171579353842193,0.1295238095238095,0.7275909221923471,MedSAM,,,,
MedSAM,pooled_heldout,severe_failure,Mask IoU disag.,525,68,0.42789440353327507,0.8271656583858926,0.1295238095238095,0.7275909221923471,MedSAM,,,,
MedSAM,pooled_heldout,severe_failure,SPRC no-conf top2,525,68,0.3649539008626804,0.769677564680139,0.1295238095238095,0.7275909221923471,MedSAM,,,,
MedSAM,CVC-ClinicDB,severe_failure,SPRC-CB,150,13,0.4552609564726703,0.8512071869736103,0.08666666666666667,0.7577405363356795,MedSAM,,,,
MedSAM,CVC-ClinicDB,severe_failure,SAM IoU min,150,13,0.17379860863040925,0.7299270072992701,0.08666666666666667,0.7577405363356795,MedSAM,,,,
MedSAM,CVC-ClinicDB,severe_failure,Prompt-pert. unc.,150,13,0.33640946404277633,0.8607523862998315,0.08666666666666667,0.7577405363356795,MedSAM,,,,
MedSAM,CVC-ClinicDB,severe_failure,Mask IoU disag.,150,13,0.35619992438028375,0.8652442448062887,0.08666666666666667,0.7577405363356795,MedSAM,,,,
MedSAM,CVC-ClinicDB,severe_failure,SPRC no-conf top2,150,13,0.3039553466460209,0.862436833239753,0.08666666666666667,0.7577405363356795,MedSAM,,,,
MedSAM,CVC-ColonDB,severe_failure,SPRC-CB,150,19,0.22128441809055951,0.7274005624748895,0.12666666666666668,0.6778910323116514,MedSAM,,,,
MedSAM,CVC-ColonDB,severe_failure,SAM IoU min,150,19,0.23686870028731213,0.6753716351948573,0.12666666666666668,0.6778910323116514,MedSAM,,,,
MedSAM,CVC-ColonDB,severe_failure,Prompt-pert. unc.,150,19,0.30349398836944236,0.7119325030132583,0.12666666666666668,0.6778910323116514,MedSAM,,,,
MedSAM,CVC-ColonDB,severe_failure,Mask IoU disag.,150,19,0.3345415414410737,0.7255926074728807,0.12666666666666668,0.6778910323116514,MedSAM,,,,
MedSAM,CVC-ColonDB,severe_failure,SPRC no-conf top2,150,19,0.2807935186015812,0.6962635596625151,0.12666666666666668,0.6778910323116514,MedSAM,,,,
MedSAM,ETIS-Larib,severe_failure,SPRC-CB,150,25,0.5504323830026332,0.8491200000000001,0.16666666666666666,0.7335671721925001,MedSAM,,,,
MedSAM,ETIS-Larib,severe_failure,SAM IoU min,150,25,0.34520342833583195,0.73472,0.16666666666666666,0.7335671721925001,MedSAM,,,,
MedSAM,ETIS-Larib,severe_failure,Prompt-pert. unc.,150,25,0.6110055021728572,0.8543999999999999,0.16666666666666666,0.7335671721925001,MedSAM,,,,
MedSAM,ETIS-Larib,severe_failure,Mask IoU disag.,150,25,0.6441244999460073,0.8707199999999999,0.16666666666666666,0.7335671721925001,MedSAM,,,,
MedSAM,ETIS-Larib,severe_failure,SPRC no-conf top2,150,25,0.5466462223125379,0.77168,0.16666666666666666,0.7335671721925001,MedSAM,,,,
MedSAM,Kvasir-SEG,severe_failure,SPRC-CB,75,11,0.5004207468111211,0.9119318181818181,0.14666666666666667,0.7547389736667672,MedSAM,,,,
MedSAM,Kvasir-SEG,severe_failure,SAM IoU min,75,11,0.4182754016434066,0.8636363636363636,0.14666666666666667,0.7547389736667672,MedSAM,,,,
MedSAM,Kvasir-SEG,severe_failure,Prompt-pert. unc.,75,11,0.4580288220395172,0.8664772727272728,0.14666666666666667,0.7547389736667672,MedSAM,,,,
MedSAM,Kvasir-SEG,severe_failure,Mask IoU disag.,75,11,0.40584308911215755,0.8650568181818182,0.14666666666666667,0.7547389736667672,MedSAM,,,,
MedSAM,Kvasir-SEG,severe_failure,SPRC no-conf top2,75,11,0.4232830474993484,0.8522727272727273,0.14666666666666667,0.7547389736667672,MedSAM,,,,
SAM ViT-B,pooled_heldout,failure,SPRC-CB,525,28,0.46167357367068396,0.9321284851968956,0.05333333333333334,0.8926362754857672,SAM ViT-B,0.14506484403473005,0.0452453520547339,0.2511445160871608,0.0
SAM ViT-B,pooled_heldout,failure,SAM IoU min,525,28,0.3194845213212446,0.9088818626041967,0.05333333333333334,0.8926362754857672,SAM ViT-B,,,,
SAM ViT-B,pooled_heldout,failure,Prompt-pert. unc.,525,28,0.35797986379413593,0.8950847944811727,0.05333333333333334,0.8926362754857672,SAM ViT-B,,,,
SAM ViT-B,pooled_heldout,failure,Mask IoU disag.,525,28,0.3803249486763731,0.8970968669157805,0.05333333333333334,0.8926362754857672,SAM ViT-B,,,,
SAM ViT-B,pooled_heldout,failure,SPRC no-conf top2,525,28,0.46115937583172684,0.9066901408450705,0.05333333333333334,0.8926362754857672,SAM ViT-B,,,,
SAM ViT-B,CVC-ClinicDB,failure,SPRC-CB,150,10,0.43936611650652535,0.9146428571428571,0.06666666666666667,0.8886431308238336,SAM ViT-B,,,,
SAM ViT-B,CVC-ClinicDB,failure,SAM IoU min,150,10,0.2681256907744272,0.8378571428571429,0.06666666666666667,0.8886431308238336,SAM ViT-B,,,,
SAM ViT-B,CVC-ClinicDB,failure,Prompt-pert. unc.,150,10,0.4810629346988373,0.9228571428571428,0.06666666666666667,0.8886431308238336,SAM ViT-B,,,,
SAM ViT-B,CVC-ClinicDB,failure,Mask IoU disag.,150,10,0.5271649184149184,0.9321428571428572,0.06666666666666667,0.8886431308238336,SAM ViT-B,,,,
SAM ViT-B,CVC-ClinicDB,failure,SPRC no-conf top2,150,10,0.45305098410361566,0.9514285714285714,0.06666666666666667,0.8886431308238336,SAM ViT-B,,,,
SAM ViT-B,CVC-ColonDB,failure,SPRC-CB,150,3,0.0680489101541733,0.800453514739229,0.02,0.8936195080922801,SAM ViT-B,,,,
SAM ViT-B,CVC-ColonDB,failure,SAM IoU min,150,3,0.0900093370681606,0.8616780045351474,0.02,0.8936195080922801,SAM ViT-B,,,,
SAM ViT-B,CVC-ColonDB,failure,Prompt-pert. unc.,150,3,0.07153502235469449,0.6848072562358276,0.02,0.8936195080922801,SAM ViT-B,,,,
SAM ViT-B,CVC-ColonDB,failure,Mask IoU disag.,150,3,0.08020770316596088,0.6961451247165533,0.02,0.8936195080922801,SAM ViT-B,,,,
SAM ViT-B,CVC-ColonDB,failure,SPRC no-conf top2,150,3,0.04658949040971513,0.5850340136054422,0.02,0.8936195080922801,SAM ViT-B,,,,
SAM ViT-B,ETIS-Larib,failure,SPRC-CB,150,6,0.8412698412698413,0.9733796296296297,0.04,0.9116012223285692,SAM ViT-B,,,,
SAM ViT-B,ETIS-Larib,failure,SAM IoU min,150,6,0.736111111111111,0.9791666666666666,0.04,0.9116012223285692,SAM ViT-B,,,,
SAM ViT-B,ETIS-Larib,failure,Prompt-pert. unc.,150,6,0.8470319634703196,0.9224537037037037,0.04,0.9116012223285692,SAM ViT-B,,,,
SAM ViT-B,ETIS-Larib,failure,Mask IoU disag.,150,6,0.8470319634703196,0.9224537037037037,0.04,0.9116012223285692,SAM ViT-B,,,,
SAM ViT-B,ETIS-Larib,failure,SPRC no-conf top2,150,6,0.7074314574314573,0.9097222222222222,0.04,0.9116012223285692,SAM ViT-B,,,,
SAM ViT-B,Kvasir-SEG,failure,SPRC-CB,75,9,0.6686347603014269,0.941077441077441,0.12,0.8607262059110043,SAM ViT-B,,,,
SAM ViT-B,Kvasir-SEG,failure,SAM IoU min,75,9,0.5919810209283894,0.9276094276094276,0.12,0.8607262059110043,SAM ViT-B,,,,
SAM ViT-B,Kvasir-SEG,failure,Prompt-pert. unc.,75,9,0.46668552943062747,0.9057239057239057,0.12,0.8607262059110043,SAM ViT-B,,,,
SAM ViT-B,Kvasir-SEG,failure,Mask IoU disag.,75,9,0.4600769600769601,0.9057239057239057,0.12,0.8607262059110043,SAM ViT-B,,,,
SAM ViT-B,Kvasir-SEG,failure,SPRC no-conf top2,75,9,0.6935273368606703,0.936026936026936,0.12,0.8607262059110043,SAM ViT-B,,,,
SAM ViT-B,pooled_heldout,failure80,SPRC-CB,525,44,0.5389067795737953,0.9115951615951615,0.0838095238095238,0.8926362754857672,SAM ViT-B,0.09868034338900616,0.011371244558328341,0.188072673452361,0.022
SAM ViT-B,pooled_heldout,failure80,SAM IoU min,525,44,0.4308305144305219,0.8902381402381403,0.0838095238095238,0.8926362754857672,SAM ViT-B,,,,
SAM ViT-B,pooled_heldout,failure80,Prompt-pert. unc.,525,44,0.3786100983131534,0.8583443583443583,0.0838095238095238,0.8926362754857672,SAM ViT-B,,,,
SAM ViT-B,pooled_heldout,failure80,Mask IoU disag.,525,44,0.4043207457000181,0.8604706104706105,0.0838095238095238,0.8926362754857672,SAM ViT-B,,,,
SAM ViT-B,pooled_heldout,failure80,SPRC no-conf top2,525,44,0.5114061768560794,0.8831033831033832,0.0838095238095238,0.8926362754857672,SAM ViT-B,,,,
SAM ViT-B,CVC-ClinicDB,failure80,SPRC-CB,150,16,0.5993630011649889,0.9272388059701492,0.10666666666666667,0.8886431308238336,SAM ViT-B,,,,
SAM ViT-B,CVC-ClinicDB,failure80,SAM IoU min,150,16,0.4257477333919352,0.871268656716418,0.10666666666666667,0.8886431308238336,SAM ViT-B,,,,
SAM ViT-B,CVC-ClinicDB,failure80,Prompt-pert. unc.,150,16,0.4814389632645378,0.90625,0.10666666666666667,0.8886431308238336,SAM ViT-B,,,,
SAM ViT-B,CVC-ClinicDB,failure80,Mask IoU disag.,150,16,0.5161572483231966,0.9127798507462687,0.10666666666666667,0.8886431308238336,SAM ViT-B,,,,
SAM ViT-B,CVC-ClinicDB,failure80,SPRC no-conf top2,150,16,0.5362904629797669,0.9388992537313433,0.10666666666666667,0.8886431308238336,SAM ViT-B,,,,
SAM ViT-B,CVC-ColonDB,failure80,SPRC-CB,150,12,0.27160056618003675,0.8013285024154589,0.08,0.8936195080922801,SAM ViT-B,,,,
SAM ViT-B,CVC-ColonDB,failure80,SAM IoU min,150,12,0.2848584604811892,0.7910628019323671,0.08,0.8936195080922801,SAM ViT-B,,,,
SAM ViT-B,CVC-ColonDB,failure80,Prompt-pert. unc.,150,12,0.23500990344750575,0.6884057971014492,0.08,0.8936195080922801,SAM ViT-B,,,,
SAM ViT-B,CVC-ColonDB,failure80,Mask IoU disag.,150,12,0.24170823888903534,0.6920289855072463,0.08,0.8936195080922801,SAM ViT-B,,,,
SAM ViT-B,CVC-ColonDB,failure80,SPRC no-conf top2,150,12,0.2614150778124307,0.7370169082125604,0.08,0.8936195080922801,SAM ViT-B,,,,
SAM ViT-B,ETIS-Larib,failure80,SPRC-CB,150,7,0.7738095238095237,0.9660339660339661,0.04666666666666667,0.9116012223285692,SAM ViT-B,,,,
SAM ViT-B,ETIS-Larib,failure80,SAM IoU min,150,7,0.7423469387755102,0.981018981018981,0.04666666666666667,0.9116012223285692,SAM ViT-B,,,,
SAM ViT-B,ETIS-Larib,failure80,Prompt-pert. unc.,150,7,0.7441568511612451,0.887112887112887,0.04666666666666667,0.9116012223285692,SAM ViT-B,,,,
SAM ViT-B,ETIS-Larib,failure80,Mask IoU disag.,150,7,0.744467860906217,0.8881118881118881,0.04666666666666667,0.9116012223285692,SAM ViT-B,,,,
SAM ViT-B,ETIS-Larib,failure80,SPRC no-conf top2,150,7,0.6222766304733518,0.8686313686313686,0.04666666666666667,0.9116012223285692,SAM ViT-B,,,,
SAM ViT-B,Kvasir-SEG,failure80,SPRC-CB,75,9,0.6686347603014269,0.941077441077441,0.12,0.8607262059110043,SAM ViT-B,,,,
SAM ViT-B,Kvasir-SEG,failure80,SAM IoU min,75,9,0.5919810209283894,0.9276094276094276,0.12,0.8607262059110043,SAM ViT-B,,,,
SAM ViT-B,Kvasir-SEG,failure80,Prompt-pert. unc.,75,9,0.46668552943062747,0.9057239057239057,0.12,0.8607262059110043,SAM ViT-B,,,,
SAM ViT-B,Kvasir-SEG,failure80,Mask IoU disag.,75,9,0.4600769600769601,0.9057239057239057,0.12,0.8607262059110043,SAM ViT-B,,,,
SAM ViT-B,Kvasir-SEG,failure80,SPRC no-conf top2,75,9,0.6935273368606703,0.936026936026936,0.12,0.8607262059110043,SAM ViT-B,,,,
SAM ViT-B,pooled_heldout,severe_failure,SPRC-CB,525,11,0.3167441697902099,0.9501238061549345,0.02095238095238095,0.8926362754857672,SAM ViT-B,0.11780821629706666,-0.006326124233495898,0.2733892487578116,0.062
SAM ViT-B,pooled_heldout,severe_failure,SAM IoU min,525,11,0.2110000547406919,0.9278386982667137,0.02095238095238095,0.8926362754857672,SAM ViT-B,,,,
SAM ViT-B,pooled_heldout,severe_failure,Prompt-pert. unc.,525,11,0.258785637550096,0.9184648036788114,0.02095238095238095,0.8926362754857672,SAM ViT-B,,,,
SAM ViT-B,pooled_heldout,severe_failure,Mask IoU disag.,525,11,0.2539446495554797,0.9186416696144323,0.02095238095238095,0.8926362754857672,SAM ViT-B,,,,
SAM ViT-B,pooled_heldout,severe_failure,SPRC no-conf top2,525,11,0.3066571012425169,0.9296073576229219,0.02095238095238095,0.8926362754857672,SAM ViT-B,,,,
SAM ViT-B,CVC-ClinicDB,severe_failure,SPRC-CB,150,2,0.14347826086956522,0.9155405405405405,0.013333333333333334,0.8886431308238336,SAM ViT-B,,,,
SAM ViT-B,CVC-ClinicDB,severe_failure,SAM IoU min,150,2,0.14627659574468085,0.8378378378378378,0.013333333333333334,0.8886431308238336,SAM ViT-B,,,,
SAM ViT-B,CVC-ClinicDB,severe_failure,Prompt-pert. unc.,150,2,0.5625,0.9527027027027026,0.013333333333333334,0.8886431308238336,SAM ViT-B,,,,
SAM ViT-B,CVC-ClinicDB,severe_failure,Mask IoU disag.,150,2,0.5625,0.9527027027027026,0.013333333333333334,0.8886431308238336,SAM ViT-B,,,,
SAM ViT-B,CVC-ClinicDB,severe_failure,SPRC no-conf top2,150,2,0.13247863247863248,0.9358108108108109,0.013333333333333334,0.8886431308238336,SAM ViT-B,,,,
SAM ViT-B,CVC-ColonDB,severe_failure,SPRC-CB,150,1,0.022727272727272728,0.7114093959731543,0.006666666666666667,0.8936195080922801,SAM ViT-B,,,,
SAM ViT-B,CVC-ColonDB,severe_failure,SAM IoU min,150,1,0.02857142857142857,0.7718120805369127,0.006666666666666667,0.8936195080922801,SAM ViT-B,,,,
SAM ViT-B,CVC-ColonDB,severe_failure,Prompt-pert. unc.,150,1,0.012987012987012988,0.4899328859060402,0.006666666666666667,0.8936195080922801,SAM ViT-B,,,,
SAM ViT-B,CVC-ColonDB,severe_failure,Mask IoU disag.,150,1,0.013157894736842105,0.49664429530201337,0.006666666666666667,0.8936195080922801,SAM ViT-B,,,,
SAM ViT-B,CVC-ColonDB,severe_failure,SPRC no-conf top2,150,1,0.011363636363636364,0.4161073825503355,0.006666666666666667,0.8936195080922801,SAM ViT-B,,,,
SAM ViT-B,ETIS-Larib,severe_failure,SPRC-CB,150,4,0.7708333333333333,0.9931506849315068,0.02666666666666667,0.9116012223285692,SAM ViT-B,,,,
SAM ViT-B,ETIS-Larib,severe_failure,SAM IoU min,150,4,0.6071428571428571,0.9777397260273972,0.02666666666666667,0.9116012223285692,SAM ViT-B,,,,
SAM ViT-B,ETIS-Larib,severe_failure,Prompt-pert. unc.,150,4,0.8041666666666667,0.9948630136986301,0.02666666666666667,0.9116012223285692,SAM ViT-B,,,,
SAM ViT-B,ETIS-Larib,severe_failure,Mask IoU disag.,150,4,0.6791666666666667,0.9931506849315068,0.02666666666666667,0.9116012223285692,SAM ViT-B,,,,
SAM ViT-B,ETIS-Larib,severe_failure,SPRC no-conf top2,150,4,0.6416666666666666,0.9828767123287672,0.02666666666666667,0.9116012223285692,SAM ViT-B,,,,
SAM ViT-B,Kvasir-SEG,severe_failure,SPRC-CB,75,4,0.48333333333333334,0.9647887323943661,0.05333333333333334,0.8607262059110043,SAM ViT-B,,,,
SAM ViT-B,Kvasir-SEG,severe_failure,SAM IoU min,75,4,0.525,0.971830985915493,0.05333333333333334,0.8607262059110043,SAM ViT-B,,,,
SAM ViT-B,Kvasir-SEG,severe_failure,Prompt-pert. unc.,75,4,0.3706709956709957,0.9330985915492958,0.05333333333333334,0.8607262059110043,SAM ViT-B,,,,
SAM ViT-B,Kvasir-SEG,severe_failure,Mask IoU disag.,75,4,0.3742424242424242,0.9330985915492958,0.05333333333333334,0.8607262059110043,SAM ViT-B,,,,
SAM ViT-B,Kvasir-SEG,severe_failure,SPRC no-conf top2,75,4,0.475,0.9507042253521126,0.05333333333333334,0.8607262059110043,SAM ViT-B,,,,
